"ResourceType","Namespace","Type"
"Microsoft.AzureActiveDirectory/ciamDirectories","Microsoft.AzureActiveDirectory","ciamDirectories"
"Microsoft.AzureActiveDirectory/guestUsages","Microsoft.AzureActiveDirectory","guestUsages"
"Microsoft.AzureActiveDirectory/b2cDirectories","Microsoft.AzureActiveDirectory","b2cDirectories"
"Microsoft.AzureActiveDirectory/checkNameAvailability","Microsoft.AzureActiveDirectory","checkNameAvailability"
"Microsoft.AzureActiveDirectory/operations","Microsoft.AzureActiveDirectory","operations"
"Microsoft.AzureActiveDirectory/b2ctenants","Microsoft.AzureActiveDirectory","b2ctenants"
"Microsoft.AzureActiveDirectory/operationStatuses","Microsoft.AzureActiveDirectory","operationStatuses"
"Microsoft.GuestConfiguration/guestConfigurationAssignments","Microsoft.GuestConfiguration","guestConfigurationAssignments"
"Microsoft.GuestConfiguration/operations","Microsoft.GuestConfiguration","operations"
"Microsoft.AppConfiguration/configurationStores","Microsoft.AppConfiguration","configurationStores"
"Microsoft.AppConfiguration/configurationStores/keyValues","Microsoft.AppConfiguration","configurationStores/keyValues"
"Microsoft.AppConfiguration/configurationStores/eventGridFilters","Microsoft.AppConfiguration","configurationStores/eventGridFilters"
"Microsoft.AppConfiguration/checkNameAvailability","Microsoft.AppConfiguration","checkNameAvailability"
"Microsoft.AppConfiguration/locations/checkNameAvailability","Microsoft.AppConfiguration","locations/checkNameAvailability"
"Microsoft.AppConfiguration/locations","Microsoft.AppConfiguration","locations"
"Microsoft.AppConfiguration/locations/operationsStatus","Microsoft.AppConfiguration","locations/operationsStatus"
"Microsoft.AppConfiguration/operations","Microsoft.AppConfiguration","operations"
"Microsoft.AppConfiguration/deletedConfigurationStores","Microsoft.AppConfiguration","deletedConfigurationStores"
"Microsoft.AppConfiguration/locations/deletedConfigurationStores","Microsoft.AppConfiguration","locations/deletedConfigurationStores"
"Microsoft.AppConfiguration/configurationStores/replicas","Microsoft.AppConfiguration","configurationStores/replicas"
"Microsoft.AppConfiguration/configurationStores/snapshots","Microsoft.AppConfiguration","configurationStores/snapshots"
"Microsoft.AppConfiguration/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.AppConfiguration","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.VirtualMachineImages/imageTemplates","Microsoft.VirtualMachineImages","imageTemplates"
"Microsoft.VirtualMachineImages/imageTemplates/runOutputs","Microsoft.VirtualMachineImages","imageTemplates/runOutputs"
"Microsoft.VirtualMachineImages/imageTemplates/triggers","Microsoft.VirtualMachineImages","imageTemplates/triggers"
"Microsoft.VirtualMachineImages/locations","Microsoft.VirtualMachineImages","locations"
"Microsoft.VirtualMachineImages/locations/operations","Microsoft.VirtualMachineImages","locations/operations"
"Microsoft.VirtualMachineImages/operations","Microsoft.VirtualMachineImages","operations"
"Microsoft.Automanage/configurationProfileAssignments","Microsoft.Automanage","configurationProfileAssignments"
"Microsoft.Automanage/configurationProfiles","Microsoft.Automanage","configurationProfiles"
"Microsoft.Automanage/configurationProfiles/versions","Microsoft.Automanage","configurationProfiles/versions"
"Microsoft.Automanage/bestPractices","Microsoft.Automanage","bestPractices"
"Microsoft.Automanage/bestPractices/versions","Microsoft.Automanage","bestPractices/versions"
"Microsoft.Automanage/operations","Microsoft.Automanage","operations"
"Microsoft.Automanage/servicePrincipals","Microsoft.Automanage","servicePrincipals"
"Microsoft.DesktopVirtualization/workspaces","Microsoft.DesktopVirtualization","workspaces"
"Microsoft.DesktopVirtualization/applicationgroups","Microsoft.DesktopVirtualization","applicationgroups"
"Microsoft.DesktopVirtualization/applicationgroups/applications","Microsoft.DesktopVirtualization","applicationgroups/applications"
"Microsoft.DesktopVirtualization/applicationgroups/desktops","Microsoft.DesktopVirtualization","applicationgroups/desktops"
"Microsoft.DesktopVirtualization/applicationgroups/startmenuitems","Microsoft.DesktopVirtualization","applicationgroups/startmenuitems"
"Microsoft.DesktopVirtualization/hostpools","Microsoft.DesktopVirtualization","hostpools"
"Microsoft.DesktopVirtualization/hostpools/msixpackages","Microsoft.DesktopVirtualization","hostpools/msixpackages"
"Microsoft.DesktopVirtualization/hostpools/sessionhosts","Microsoft.DesktopVirtualization","hostpools/sessionhosts"
"Microsoft.DesktopVirtualization/hostpools/sessionhosts/usersessions","Microsoft.DesktopVirtualization","hostpools/sessionhosts/usersessions"
"Microsoft.DesktopVirtualization/hostpools/usersessions","Microsoft.DesktopVirtualization","hostpools/usersessions"
"Microsoft.DesktopVirtualization/scalingplans","Microsoft.DesktopVirtualization","scalingplans"
"Microsoft.DesktopVirtualization/appattachpackages","Microsoft.DesktopVirtualization","appattachpackages"
"Microsoft.DesktopVirtualization/operations","Microsoft.DesktopVirtualization","operations"
"Microsoft.OffAzure/VMwareSites","Microsoft.OffAzure","VMwareSites"
"Microsoft.OffAzure/HyperVSites","Microsoft.OffAzure","HyperVSites"
"Microsoft.OffAzure/ServerSites","Microsoft.OffAzure","ServerSites"
"Microsoft.OffAzure/ImportSites","Microsoft.OffAzure","ImportSites"
"Microsoft.OffAzure/MasterSites","Microsoft.OffAzure","MasterSites"
"Microsoft.OffAzure/locations","Microsoft.OffAzure","locations"
"Microsoft.OffAzure/locations/operationResults","Microsoft.OffAzure","locations/operationResults"
"Microsoft.OffAzure/operations","Microsoft.OffAzure","operations"
"Microsoft.SaaS/applications","Microsoft.SaaS","applications"
"Microsoft.SaaS/checknameavailability","Microsoft.SaaS","checknameavailability"
"Microsoft.SaaS/saasresources","Microsoft.SaaS","saasresources"
"Microsoft.SaaS/operationResults","Microsoft.SaaS","operationResults"
"Microsoft.SaaS/operations","Microsoft.SaaS","operations"
"Microsoft.SaaS/resources","Microsoft.SaaS","resources"
"Microsoft.MarketplaceNotifications/reviewsnotifications","Microsoft.MarketplaceNotifications","reviewsnotifications"
"Microsoft.MarketplaceNotifications/operations","Microsoft.MarketplaceNotifications","operations"
"Microsoft.Diagnostics/operations","Microsoft.Diagnostics","operations"
"Microsoft.Diagnostics/operationResults","Microsoft.Diagnostics","operationResults"
"Microsoft.Diagnostics/discoverSolutions","Microsoft.Diagnostics","discoverSolutions"
"Microsoft.Diagnostics/azureKB","Microsoft.Diagnostics","azureKB"
"Microsoft.Diagnostics/insights","Microsoft.Diagnostics","insights"
"Microsoft.Diagnostics/checkNameAvailability","Microsoft.Diagnostics","checkNameAvailability"
"Microsoft.Diagnostics/solutions","Microsoft.Diagnostics","solutions"
"Microsoft.Diagnostics/apollo","Microsoft.Diagnostics","apollo"
"Microsoft.Notebooks/NotebookProxies","Microsoft.Notebooks","NotebookProxies"
"Microsoft.Notebooks/operations","Microsoft.Notebooks","operations"
"Microsoft.DataFactory/factories","Microsoft.DataFactory","factories"
"Microsoft.DataFactory/factories/integrationRuntimes","Microsoft.DataFactory","factories/integrationRuntimes"
"Microsoft.DataFactory/factories/privateEndpointConnectionProxies","Microsoft.DataFactory","factories/privateEndpointConnectionProxies"
"Microsoft.DataFactory/CheckNameAvailability","Microsoft.DataFactory","CheckNameAvailability"
"Microsoft.DataFactory/operations","Microsoft.DataFactory","operations"
"Microsoft.DataFactory/locations","Microsoft.DataFactory","locations"
"Microsoft.DataFactory/locations/configureFactoryRepo","Microsoft.DataFactory","locations/configureFactoryRepo"
"Microsoft.DataFactory/locations/getFeatureValue","Microsoft.DataFactory","locations/getFeatureValue"
"Microsoft.HybridCompute/machines","Microsoft.HybridCompute","machines"
"Microsoft.HybridCompute/machines/hybridIdentityMetadata","Microsoft.HybridCompute","machines/hybridIdentityMetadata"
"Microsoft.HybridCompute/machines/privateLinkScopes","Microsoft.HybridCompute","machines/privateLinkScopes"
"Microsoft.HybridCompute/machines/extensions","Microsoft.HybridCompute","machines/extensions"
"Microsoft.HybridCompute/locations","Microsoft.HybridCompute","locations"
"Microsoft.HybridCompute/locations/publishers","Microsoft.HybridCompute","locations/publishers"
"Microsoft.HybridCompute/locations/publishers/extensionTypes","Microsoft.HybridCompute","locations/publishers/extensionTypes"
"Microsoft.HybridCompute/locations/publishers/extensionTypes/versions","Microsoft.HybridCompute","locations/publishers/extensionTypes/versions"
"Microsoft.HybridCompute/locations/operationStatus","Microsoft.HybridCompute","locations/operationStatus"
"Microsoft.HybridCompute/locations/operationResults","Microsoft.HybridCompute","locations/operationResults"
"Microsoft.HybridCompute/operations","Microsoft.HybridCompute","operations"
"Microsoft.HybridCompute/machines/assessPatches","Microsoft.HybridCompute","machines/assessPatches"
"Microsoft.HybridCompute/machines/installPatches","Microsoft.HybridCompute","machines/installPatches"
"Microsoft.HybridCompute/locations/updateCenterOperationResults","Microsoft.HybridCompute","locations/updateCenterOperationResults"
"Microsoft.HybridCompute/privateLinkScopes","Microsoft.HybridCompute","privateLinkScopes"
"Microsoft.HybridCompute/privateLinkScopes/privateEndpointConnections","Microsoft.HybridCompute","privateLinkScopes/privateEndpointConnections"
"Microsoft.HybridCompute/privateLinkScopes/privateEndpointConnectionProxies","Microsoft.HybridCompute","privateLinkScopes/privateEndpointConnectionProxies"
"Microsoft.HybridCompute/locations/privateLinkScopes","Microsoft.HybridCompute","locations/privateLinkScopes"
"Microsoft.HybridCompute/osType","Microsoft.HybridCompute","osType"
"Microsoft.HybridCompute/osType/agentVersions","Microsoft.HybridCompute","osType/agentVersions"
"Microsoft.HybridCompute/osType/agentVersions/latest","Microsoft.HybridCompute","osType/agentVersions/latest"
"Microsoft.HybridCompute/machines/runcommands","Microsoft.HybridCompute","machines/runcommands"
"Microsoft.HybridCompute/machines/licenseProfiles","Microsoft.HybridCompute","machines/licenseProfiles"
"Microsoft.HybridCompute/licenses","Microsoft.HybridCompute","licenses"
"Microsoft.HybridCompute/validateLicense","Microsoft.HybridCompute","validateLicense"
"Microsoft.HybridCompute/networkConfigurations","Microsoft.HybridCompute","networkConfigurations"
"Microsoft.HybridCompute/privateLinkScopes/networkSecurityPerimeterConfigurations","Microsoft.HybridCompute","privateLinkScopes/networkSecurityPerimeterConfigurations"
"Microsoft.HybridCompute/privateLinkScopes/networkSecurityPerimeterAssociationProxies","Microsoft.HybridCompute","privateLinkScopes/networkSecurityPerimeterAssociationProxies"
"Microsoft.HybridCompute/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.HybridCompute","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.HybridCompute/locations/notifyExtension","Microsoft.HybridCompute","locations/notifyExtension"
"Microsoft.Batch/batchAccounts","Microsoft.Batch","batchAccounts"
"Microsoft.Batch/batchAccounts/pools","Microsoft.Batch","batchAccounts/pools"
"Microsoft.Batch/batchAccounts/detectors","Microsoft.Batch","batchAccounts/detectors"
"Microsoft.Batch/batchAccounts/certificates","Microsoft.Batch","batchAccounts/certificates"
"Microsoft.Batch/batchAccounts/operationResults","Microsoft.Batch","batchAccounts/operationResults"
"Microsoft.Batch/batchAccounts/poolOperationResults","Microsoft.Batch","batchAccounts/poolOperationResults"
"Microsoft.Batch/batchAccounts/certificateOperationResults","Microsoft.Batch","batchAccounts/certificateOperationResults"
"Microsoft.Batch/batchAccounts/privateEndpointConnectionProxyResults","Microsoft.Batch","batchAccounts/privateEndpointConnectionProxyResults"
"Microsoft.Batch/batchAccounts/privateEndpointConnectionResults","Microsoft.Batch","batchAccounts/privateEndpointConnectionResults"
"Microsoft.Batch/operations","Microsoft.Batch","operations"
"Microsoft.Batch/locations","Microsoft.Batch","locations"
"Microsoft.Batch/locations/quotas","Microsoft.Batch","locations/quotas"
"Microsoft.Batch/locations/checkNameAvailability","Microsoft.Batch","locations/checkNameAvailability"
"Microsoft.Batch/locations/accountOperationResults","Microsoft.Batch","locations/accountOperationResults"
"Microsoft.Batch/locations/virtualMachineSkus","Microsoft.Batch","locations/virtualMachineSkus"
"Microsoft.Batch/locations/cloudServiceSkus","Microsoft.Batch","locations/cloudServiceSkus"
"Microsoft.AzureArcData/Locations","Microsoft.AzureArcData","Locations"
"Microsoft.AzureArcData/Locations/OperationStatuses","Microsoft.AzureArcData","Locations/OperationStatuses"
"Microsoft.AzureArcData/DataControllers","Microsoft.AzureArcData","DataControllers"
"Microsoft.AzureArcData/SqlManagedInstances","Microsoft.AzureArcData","SqlManagedInstances"
"Microsoft.AzureArcData/PostgresInstances","Microsoft.AzureArcData","PostgresInstances"
"Microsoft.AzureArcData/SqlServerInstances","Microsoft.AzureArcData","SqlServerInstances"
"Microsoft.AzureArcData/Operations","Microsoft.AzureArcData","Operations"
"Microsoft.AzureArcData/DataControllers/ActiveDirectoryConnectors","Microsoft.AzureArcData","DataControllers/ActiveDirectoryConnectors"
"Microsoft.AzureArcData/SqlServerInstances/Databases","Microsoft.AzureArcData","SqlServerInstances/Databases"
"Microsoft.AzureArcData/SqlManagedInstances/FailoverGroups","Microsoft.AzureArcData","SqlManagedInstances/FailoverGroups"
"Microsoft.AzureArcData/SqlServerInstances/AvailabilityGroups","Microsoft.AzureArcData","SqlServerInstances/AvailabilityGroups"
"Microsoft.AzureArcData/SqlServerLicenses","Microsoft.AzureArcData","SqlServerLicenses"
"Microsoft.LoadTestService/operations","Microsoft.LoadTestService","operations"
"Microsoft.LoadTestService/checkNameAvailability","Microsoft.LoadTestService","checkNameAvailability"
"Microsoft.LoadTestService/loadtests","Microsoft.LoadTestService","loadtests"
"Microsoft.LoadTestService/Locations","Microsoft.LoadTestService","Locations"
"Microsoft.LoadTestService/Locations/OperationStatuses","Microsoft.LoadTestService","Locations/OperationStatuses"
"Microsoft.LoadTestService/registeredSubscriptions","Microsoft.LoadTestService","registeredSubscriptions"
